Time,From Peer,To Peer,Piece Index
0,SEED-1,PEER-1,5
0,SEED-1,PEER-2,2
0,SEED-1,PEER-3,4
1,SEED-1,PEER-1,0
1,SEED-1,PEER-2,1
1,SEED-1,PEER-3,3
1,SEED-1,PEER-1,6
1,SEED-1,PEER-2,7
1,SEED-1,PEER-3,8
1,SEED-1,PEER-1,9
1,SEED-1,PEER-2,0
1,SEED-1,PEER-3,1
1,SEED-1,PEER-1,2
1,SEED-1,PEER-2,3
1,SEED-1,PEER-3,5
1,SEED-1,PEER-1,4
1,SEED-1,PEER-2,6
1,SEED-1,PEER-3,7
1,SEED-1,PEER-1,8
1,SEED-1,PEER-2,9
1,SEED-1,PEER-3,0
1,SEED-1,PEER-1,1
1,SEED-1,PEER-2,4
1,SEED-1,PEER-3,2
1,SEED-1,PEER-1,3
1,SEED-1,PEER-2,5
1,SEED-1,PEER-3,6
1,SEED-1,PEER-1,7
1,SEED-1,PEER-2,8
1,SEED-1,PEER-3,9
20,SEED-1,PEER-5,5
50,SEED-1,PEER-4,1
80,SEED-1,PEER-5,0
